name|translation|question|answer
24July_2011_Sunday_tagesschau-6628|am tag sechzehn grad im vogtland und bis zu zweiundzwanzig grad am oberrhein|Wie hoch ist die Temperatur am Tag im Vogtland?|Sechzehn Grad.
24July_2011_Sunday_tagesschau-6629|am dienstag neben dichten wolken auch lücken in der wolkendecke vor allem im westen und in der mitte entwickeln sich stellenweise schauer und gewitter|Was wird am Dienstag neben dichten Wolken erwartet?|Stellenweise Schauer und Gewitter.
24August_2009_Monday_heute-6635|sonne viel sonne von der küste bis zu den alpen|Wo scheint die Sonne viel?|Von der Küste bis zu den Alpen.
24August_2009_Monday_heute-6636|aber so wird es nicht bleiben|Was wird sich in der Zukunft ändern?|Es wird nicht so bleiben.
24August_2009_Monday_heute-6637|denn von westen nähern sich schauer und gewitter|Wann nähern sich schauer und gewitter?|Sie nähern sich von Westen.
24August_2009_Monday_heute-6638|und in den nächsten tagen wird es dann doch leicht wechselhaft|Was wird in den nächsten Tagen erwartet?|Es wird leicht wechselhaft.
24August_2009_Monday_heute-6639|unser sonnenhoch das zieht weiter nach osten|Wohin zieht unser Sonnenhoch weiter?|Nach Osten.
24August_2009_Monday_heute-6640|schauer und gewitter werden sich heute nacht allerdings nur auf die westhälfte beschränken|Auf welchen Teil wird sich das Wetter heute Nacht beschränken?|Auf die Westhälfte.
24August_2009_Monday_heute-6641|sonst wird es nochmal eine sehr laue und sternenklare sommernacht|Was passiert, wenn es nicht anders wird als vorhergesagt?|Es wird nochmal eine sehr laue und sternenklare Sommernacht.
24August_2009_Monday_heute-6644|aber im westen sind schon schauer und gewitter unterwegs die sich auch langsam richtung osten bewegen und dort abends auch unwetterartig ausfallen können|Wohin bewegen sich die Schauer und Gewitter im Westen?|Sie bewegen sich langsam Richtung Osten.
24August_2009_Monday_heute-6645|und das liegt daran dass wir dort noch diese sehr heiße luft haben teilweise dreißig über dreißig grad|Warum haben wir dort teilweise über dreißig Grad?|Weil wir dort noch diese sehr heiße Luft haben.
24August_2009_Monday_heute-6646|im westen dann doch schon deutliche abkühlung so einundzwanzig bis fünfundzwanzig grad|Welche Temperatur wird im Westen erwartet?|Eine Abkühlung auf etwa einundzwanzig bis fünfundzwanzig Grad.
24August_2009_Monday_heute-6647|also sehr angenehm die temperaturen|Wie waren die Temperaturen vor kurzem?|Vor kurzem waren die Temperaturen sehr angenehm.
24August_2009_Monday_heute-6649|am donnerstag dann kaum noch schauer|Was wird am Donnerstag kaum noch sein?|Kaum noch Schauer.
24August_2009_Monday_heute-6650|und am freitag kommt dann vom nordwesten wieder etwas regen|Wann kommt der Regen wieder?|Am Freitag.
24August_2009_Monday_heute-6651|aber es bleibt auf jeden fall warm|Wird es auch in der Zukunft warm bleiben?|Ja, es bleibt auf jeden Fall warm.
24August_2009_Monday_heute-6652|und jetzt wünsche ich ihnen noch einen schönen abend|Was wird in der Zukunft gewünscht?|Ein schöner Abend.
18April_2010_Sunday_tagesschau-6653|und nun die wettervorhersage für morgen montag den neunzehnten april|Für welchen Tag ist die Wettervorhersage?|Für morgen, Montag, den neunzehnten April.
18April_2010_Sunday_tagesschau-6654|auch morgen wird es in weiten teilen deutschlands oft freundlich|Wann wird es in weiten Teilen Deutschlands oft freundlich sein?|Auch morgen.
18April_2010_Sunday_tagesschau-6655|in den norden strömt allerdings kühlere luft ein am dienstag erreichen uns dann wolken eines tiefs bei island|Wann erreichen uns die Wolken eines Tiefs bei Island?|Am Dienstag erreichen uns die Wolken.
18April_2010_Sunday_tagesschau-6656|zu beginn der nacht muss im süden bayerns und baden württembergs noch mit einzelnen gewittrigen schauern gerechnet werden sonst ist es meist klar|Was muss zu Beginn der Nacht im Süden Bayerns und Baden-Württembergs noch erwartet werden?|Einzelne gewittrige Schauer.
18April_2010_Sunday_tagesschau-6657|am tag ist es sonnig im laufe des tages kommen einige wolken dazu|Was passiert im Laufe des Tages nach dem sonnigen Wetter?|Es kommen einige Wolken dazu.
18April_2010_Sunday_tagesschau-6658|sie bringen am nachmittag über den mittelgebirgen einzelne schauer|Wann bringen sie einzelne Schauer?|Am Nachmittag.
18April_2010_Sunday_tagesschau-6659|der wind weht schwach im norden auch mäßig an der nordsee frisch er kommt aus nordwest bis nord|Wo weht der Wind gerade jetzt schwach?|Der Wind weht gerade jetzt schwach im Norden.
18April_2010_Sunday_tagesschau-6660|heute nacht sieben bis neun grad am tag acht grad in nordfriesland und bis zu einundzwanzig grad im süden|Welche Temperaturen sind heute Nacht in Nordfriesland zu erwarten?|Heute Nacht werden in Nordfriesland sieben bis neun Grad erwartet.
18April_2010_Sunday_tagesschau-6661|am dienstag ist es teilweise dichter bewölkt hier und da fallen regenschauer mitunter sind gewitter dabei|Was passiert am Dienstag bezüglich des Wetters?|Am Dienstag ist es teilweise dichter bewölkt, es fallen Regenschauer, und mitunter gibt es Gewitter.
24February_2011_Thursday_heute-6664|guten abend liebe zuschauer|Wann sagt man guten Abend?|Man sagt guten Abend am Abend.
24February_2011_Thursday_heute-6665|tiefblau war himmel wieder heute im osten und auch am alpenrand wie hier in berchtesgaden|Wann war der Himmel tiefblau?|Heute im Osten und am Alpenrand.
24February_2011_Thursday_heute-6667|aber der schnee wird schnell wegtauen von südwesten wird in den nächsten tagen doch bei uns ein bisschen milder|Wann wird der Schnee schnell wegtauen?|In den nächsten Tagen.
24February_2011_Thursday_heute-6668|aber wir bleiben in der nähe der kälte im nordosten europas mit höchsttemperaturen von minus fünf bis minus fünfzehn grad|Wie hoch sind die Höchsttemperaturen in der Nähe der Kälte im Nordosten Europas?|Die Höchsttemperaturen liegen zwischen minus fünf und minus fünfzehn Grad.
24February_2011_Thursday_heute-6669|und heute nacht bleibt es auch frostfrei im westen dort fünf grad morgen früh|Wird es morgen früh frostfrei sein?|Ja, es bleibt morgen früh frostfrei.
24February_2011_Thursday_heute-6670|aber im osten wird es nochmal eisig kalt mit minus vier bis minus zwölf grad|Was wird im Osten erwartet?|Es wird eisig kalt mit minus vier bis minus zwölf Grad erwartet.
24February_2011_Thursday_heute-6671|dort haben wir den klaren himmel im westen haben wir die wolken und morgen früh auch dicke nebelfelder|Wann wird es dicke Nebelfelder geben?|Morgen früh.
24February_2011_Thursday_heute-6674|sonst haben wir eine zweiteilung also im westen bleibt es trüb aber trocken und im osten ist es auch trocken aber herrlich sonnig wie schon heute und auch gestern|Was wird im Osten heute erwartet?|Im Osten wird herrlich sonniges Wetter erwartet.
24February_2011_Thursday_heute-6675|und es ist gar nicht mehr so kalt dabei|Wann ist es nicht mehr so kalt?|Es ist nicht mehr so kalt jetzt.
24February_2011_Thursday_heute-6676|die temperaturen erreichen meist zwei bis zehn grad nur an der grenze zu polen da behalten wir noch den leichten frost und der schwächt sich in den nächsten tagen auch ab|Wie entwickeln sich die Temperaturen in den nächsten Tagen an der Grenze zu Polen?|Die Temperaturen erreichen meist zwei bis zehn Grad, und der Frost schwächt sich in den nächsten Tagen ab.
24February_2011_Thursday_heute-6677|aber es wird nasskalt am wochenende neuer regen kommt von westen heran|Wann wird es nasskalt?|Am Wochenende.
24February_2011_Thursday_heute-6678|und in den bergen fällt dann auch wieder schnee|Wann fällt wieder Schnee in den Bergen?|Der Schnee fällt dann, wenn die Temperaturen sinken.
24February_2011_Thursday_heute-6679|ihnen noch einen schönen abend und machen sie es gut|Was wünscht der Sprecher den Zuhörern für die restliche Zeit des Tages?|Der Sprecher wünscht ihnen einen schönen Abend.
18October_2009_Sunday_tagesschau-6680|und nun die wettervorhersage für morgen montag den neunzehnten oktober|Wann ist die Wettervorhersage, die genannt wird?|Für morgen, Montag, den neunzehnten Oktober.
18October_2009_Sunday_tagesschau-6681|das hoch das von frankreich zu uns zieht verbindet sich mit dem hoch über russland|Was verbindet sich mit dem Hoch über Russland?|Das Hoch, das von Frankreich zu uns zieht, verbindet sich damit.
18October_2009_Sunday_tagesschau-6682|damit erwartet uns morgen meist ruhiges trockenes herbstwetter|Wann erwartet uns meist ruhiges, trockenes Herbstwetter?|Morgen.
18October_2009_Sunday_tagesschau-6683|danach wird es dann deutlich milder allerdings übernehmen im laufe der woche wieder tiefs das ruder|Was passiert nach der milden Phase in der Woche?|Es übernehmen wieder Tiefs das Ruder.
18October_2009_Sunday_tagesschau-6685|ist der nebel weg zeigt sich morgen vielerorts die sonne|Wann wird die Sonne vielerorts sichtbar sein?|Morgens, wenn der Nebel weg ist.
18October_2009_Sunday_tagesschau-6686|die ausnahmen über dem südosten sowie ganz im norden und nordwesten tummeln sich noch wolken|Wo tummeln sich noch Wolken laut dem Satz?|Im Südosten, ganz im Norden und Nordwesten.
18October_2009_Sunday_tagesschau-6688|heute nacht plus vier bis minus drei grad an der nordsee ist es teilweise milder|Wie wird das Wetter heute Nacht an der Nordsee sein?|Heute Nacht wird es an der Nordsee teilweise milder sein, mit Temperaturen zwischen plus vier und minus drei Grad.
18October_2009_Sunday_tagesschau-6689|am tag werte zwischen vier und zwölf grad bei nebel ist es kühler|Wie warm ist es tagsüber bei Nebel?|Es ist zwischen vier und zwölf Grad.
18October_2009_Sunday_tagesschau-6691|am mittwoch mal sonne mal wolken stellenweise bleibt es neblig trüb dabei ist es trocken|Was für Wetter wird am Mittwoch erwartet?|Am Mittwoch wird mal Sonne, mal Wolken erwartet, stellenweise bleibt es neblig und trüb, aber es ist trocken.
18October_2009_Sunday_tagesschau-6692|auch am donnerstag ist es teils freundlich teilweise aber auch bewölkt oder neblig|Was wird am Donnerstag über das Wetter gesagt?|Am Donnerstag ist es teils freundlich, teilweise aber auch bewölkt oder neblig.
18October_2009_Sunday_tagesschau-6693|im westen und südwesten regnet es ab und an an den alpen föhn|Wo regnet es ab und an laut dem Satz?|Im Westen und Südwesten an den Alpen.
01April_2010_Thursday_heute-6694|liebe zuschauer guten abend|Wann sagt man 'guten Abend' zu den Zuschauern?|Man sagt 'guten Abend' am Abend.
01April_2010_Thursday_heute-6695|heftiger wintereinbruch gestern in nordirland schottland|Wann fand der heftige Wintereinbruch in Nordirland und Schottland statt?|Gestern.
01April_2010_Thursday_heute-6696|schwere überschwemmungen in den usa|Wann gab es schwere Überschwemmungen in den USA?|In letzter Zeit gab es schwere Überschwemmungen in den USA.
01April_2010_Thursday_heute-6700|weiterhin warm am östlichen mittelmeer und auch richtung westliches mittelmeer ganz west und nordeuropa bleibt kühl|Wie bleibt das Wetter am östlichen Mittelmeer und in Nordeuropa?|Am östlichen Mittelmeer bleibt es weiterhin warm, während es in Nordeuropa kühl bleibt.
01April_2010_Thursday_heute-6701|und sehr kühl wird auch die kommende nacht|Wie wird das Wetter in der kommenden Nacht sein?|Es wird sehr kühl sein.
01April_2010_Thursday_heute-6702|verbreitet minusgrade zum teil bis minus fünf am alpenrand und selbst an der küste nahe null grad|Was wird am Alpenrand und an der Küste in Bezug auf die Temperaturen erwähnt?|Es werden Minusgrade bis minus fünf am Alpenrand und nahe null Grad an der Küste erwähnt.
01April_2010_Thursday_heute-6703|morgen die temperaturspanne auch nur acht bis dreizehn grad höchsttemperatur|Was ist die Temperaturspanne für morgen?|Acht bis dreizehn Grad Höchsttemperatur.
01April_2010_Thursday_heute-6708|und auch am samstag im osten noch freundlich im westen dann zum teil kräftige schauer|Wie wird das Wetter am Samstag im Osten und Westen sein?|Im Osten freundlich und im Westen zum Teil kräftige Schauer.
01April_2010_Thursday_heute-6709|sonntag im nordwesten schauer und auch im süden|Wann gibt es Schauer im Nordwesten?|Am Sonntag.
01April_2010_Thursday_heute-6710|da auch wieder mit schnee vermischt|Was wird wieder mit Schnee vermischt?|Es wird wieder mit Schnee vermischt.
01April_2010_Thursday_heute-6711|und am montag da ziehen sich die schauer richtung südosten zurück|Welche Richtung nehmen die Schauer am Montag?|Sie ziehen sich Richtung Südosten zurück.
01April_2010_Thursday_heute-6712|und dann wird es doch insgesamt ein recht freundlicher tag|Wann wird es ein recht freundlicher Tag sein?|Es wird insgesamt ein recht freundlicher Tag sein, nachdem alles рассмотрено wird.
01April_2010_Thursday_heute-6714|und jetzt wünsche ich ihnen noch einen schönen abend|Wann wünscht der Sprecher ihnen einen schönen Abend?|Der Sprecher wünscht ihnen jetzt einen schönen Abend.
26May_2010_Wednesday_tagesschau-6715|und nun die wettervorhersage für morgen donnerstag den siebenundzwanzigsten mai|Was ist das Datum der Wettervorhersage?|Der Wettervorhersage ist für morgen, den siebenundzwanzigsten Mai.
26May_2010_Wednesday_tagesschau-6716|ein tief zieht über die mitte deutschlands richtung ostsee|Was passiert mit dem Tief, das über die Mitte Deutschlands zieht?|Es zieht Richtung Ostsee.
26May_2010_Wednesday_tagesschau-6717|ist es durchgezogen beruhigt sich das wetter im norden und in der mitte etwas während sich im süden reste der feuchten warmen und damit gewitterträchtigen luft halten|Was passiert mit dem Wetter im Norden und in der Mitte, nachdem es durchgezogen ist?|Es beruhigt sich etwas.
26May_2010_Wednesday_tagesschau-6718|in der kommenden nacht regnet oder schauert es hier und da der deutsche wetterdienst warnt vor allem im süden vor kräftigen gewittern|Wann wird es in der kommenden Nacht regnen oder schauern?|In der kommenden Nacht.
26May_2010_Wednesday_tagesschau-6719|morgen am tag regnet es anfangs im nordosten noch sonst einzelne schauer im süden regnet es teilweise kräftig auch gewitter sind mit dabei|Was wird morgen im nordosten zu Beginn des Tages wettertechnisch erwartet?|Es wird anfangs regnen.
26May_2010_Wednesday_tagesschau-6720|abseits der schauer und gewittern weht der wind morgen nur schwach bis mäßig|Wie wird der Wind morgen wehen, abgesehen von den Schauern und Gewittern?|Morgen weht der Wind nur schwach bis mäßig.
26May_2010_Wednesday_tagesschau-6723|am freitag wechseln sonne und wolken einander ab hier und da fallen mitunter gewittrige schauer|Was passiert am Freitag mit Sonne und Wolken?|Am Freitag wechseln Sonne und Wolken einander ab.
26May_2010_Wednesday_tagesschau-6724|am samstag scheint die sonne neben einigen wolken für längere zeit im süden und südwesten einige schauer|Wann scheint die Sonne am Samstag?|Die Sonne scheint am Samstag für längere Zeit.
26May_2010_Wednesday_tagesschau-6725|am sonntag mal sonne mal wolken hier und da fallen schauer|Was wird am Sonntag über das Wetter gesagt?|Am Sonntag gibt es wechselhaftes Wetter mit Sonne, Wolken und gelegentlichen Schauern.
08July_2011_Friday_tagesschau-6726|und nun die wettervorhersage für morgen samstag den neunten juli|Wann ist die Wettervorhersage, die genannt wird?|Für morgen, Samstag, den neunten Juli.
08July_2011_Friday_tagesschau-6730|im westen ziehen dichtere wolken auf stellenweise regnet es später|Wann wird es stellenweise regnen?|Es wird später regnen.
08July_2011_Friday_tagesschau-6731|am tag im westen und nordwesten einige mitunter gewittrige schauer|Wann finden die gewittrigen Schauer statt?|Tagsüber.
08July_2011_Friday_tagesschau-6732|sonst ist es meist freundlich später wolkiger hier und da schauer und gewitter die im osten und südosten heftig ausfallen können|Was kann später im Osten und Südosten passieren?|Dort können heftige Schauer und Gewitter auftreten.
08July_2011_Friday_tagesschau-6733|der wind weht schwach bis mäßig vor allem in der nordwesthälfte auch mal frisch bei gewittern sturmböen|Wie stark weht der Wind in der nordwesthälfte während Gewittern?|Bei Gewittern weht der Wind frisch und es kann stürmische Böen geben.
08July_2011_Friday_tagesschau-6734|heute nacht werte zwischen sechzehn und elf grad am tag dann temperaturen zwischen zwanzig und dreißig grad|Was sind die Temperaturen heute Nacht und tagsüber?|Heute Nacht Temperaturen zwischen sechzehn und elf Grad, tagsüber zwischen zwanzig und dreißig Grad.
08July_2011_Friday_tagesschau-6735|die aussichten am sonntag mal sonne mal wolken vor allem am nachmittag schauer und gewitter die im süden und südosten unwetterartig ausfallen können|Welche Wetterbedingungen sind am Sonntag zu erwarten?|Am Sonntag sind mal Sonne, mal Wolken sowie am Nachmittag Schauer und Gewitter zu erwarten.
08July_2011_Friday_tagesschau-6736|am montag ist es teils freundlich teilweise wolkig vor allem in der osthälfte und im süden gewitterschauer|Was wird am Montag in der Osthälfte und im Süden erwartet?|Gewitterschauer.
08July_2011_Friday_tagesschau-6737|auch am dienstag insgesamt durchwachsenes wetter|Wie wird das Wetter am Dienstag sein?|Es wird insgesamt durchwachsenes Wetter sein.
18October_2010_Monday_tagesschau-6738|und nun die wettervorhersage für morgen dienstag den neunzehnten oktober|Wann ist die Wettervorhersage, die genannt wird?|Für morgen, Dienstag, den neunzehnten Oktober.
18October_2010_Monday_tagesschau-6739|die hochs die uns heute recht ruhiges wetter bescherten driften auseinander|Was bescherten die Hochs uns heute?|Ruhiges Wetter.
18October_2010_Monday_tagesschau-6740|in die lücke stoßen nordische tiefausläufer und lenken regen zur wochenmitte auch polare kaltluft heran|Wann lenken die nordischen Tiefausläufer Regen zur Wochenmitte?|Zur Wochenmitte.
18October_2010_Monday_tagesschau-6741|die regenwolken breiten sich heute nacht von der nordsee über die nordwesthälfte aus|Wann breiten sich die Regenwolken aus?|Heute Nacht.
18October_2010_Monday_tagesschau-6742|richtung südosten ist es teils wolkig oder neblig trüb teils klar|Welche Wetterbedingungen herrschen zur Zeit im Südosten?|Es ist teils wolkig oder neblig trüb, teils klar.
18October_2010_Monday_tagesschau-6743|morgen verlagert sich das regenband über die mitte nach südosten richtung alpen scheint zum teil noch die sonne|Wann verlagert sich das Regenband?|Morgen.
18October_2010_Monday_tagesschau-6744|hinter den regenband gibt es einen wechsel aus sonne und wolken mit schauern im nordwesten auch einzelne kurze gewitter|Was wird hinter den Regenband passieren?|Es wird einen Wechsel aus Sonne und Wolken mit Schauern geben.
18October_2010_Monday_tagesschau-6745|morgen bläst der wind überwiegend mäßig bis frisch mit starken böen an der see und auf den bergen auch stürmische böen|Was wird morgen mit dem Wind passieren?|Morgen wird der Wind überwiegend mäßig bis frisch blasen, mit starken und stürmischen Böen an der See und auf den Bergen.
18October_2010_Monday_tagesschau-6746|in der südosthälfte heute nacht temperaturen nahe dem gefrierpunkt im nordwesten sechs bis sieben grad|Welche Temperaturen sind heute Nacht in der Südosthälfte zu erwarten?|Temperaturen nahe dem Gefrierpunkt.
18October_2010_Monday_tagesschau-6747|morgen sechs grad im vogtland vom niederrhein bis nach nordfriesland zwölf grad|Wie viel Grad wird morgen im Vogtland sein?|Sechs Grad.
18October_2010_Monday_tagesschau-6748|mittwoch und donnerstag nasskaltes und vor allem im norden auch windiges wetter gebietsweise gibt es regen oder schauer vorübergehend können bis in tiefere lagen schneeflocken dabei sein|Welche Tage sind laut der Wettervorhersage nasskalt und windig?|Mittwoch und Donnerstag.
18October_2010_Monday_tagesschau-6749|am freitag zumindest im süden zum teil wieder etwas freundlicher|Was wird am Freitag im Süden erwartet?|Am Freitag wird im Süden zum Teil wieder etwas Freundlicheres Wetter erwartet.
23July_2009_Thursday_tagesschau-6753|es gelten entsprechende warnungen des deutschen wetterdienstes|Welche Art von Warnungen gelten aktuell?|Entsprechende Warnungen des deutschen Wetterdienstes gelten aktuell.
23July_2009_Thursday_tagesschau-6754|morgen ist das unwetterrisiko dann weitaus geringer|Wann wird das Unwetterrisiko geringer sein?|Morgen.
23July_2009_Thursday_tagesschau-6755|in der kommenden nacht ist die unwettergefahr zunächst noch einmal richtung süden und osten am höchsten|Wann ist die Unwettergefahr am höchsten?|In der kommenden Nacht.
23July_2009_Thursday_tagesschau-6756|tagsüber ist es wechselhaft auch einige teilweise kräftige schauer und gewitter sind mit dabei|Welche Art von Wetter wird tagsüber erwartet?|Es wird wechselhaftes Wetter mit teils kräftigen Schauern und Gewittern erwartet.
23July_2009_Thursday_tagesschau-6757|im süden gibt es erst nur ganz vereinzelt schauer später setzt im süden bayerns im laufe des nachmittags regen ein|Wann setzt im Süden Bayerns Regen ein?|Im Laufe des Nachmittags.
23July_2009_Thursday_tagesschau-6758|bei gewittern sowie in den hochlagen sind sturmböen möglich sonst weht der wind meist mäßig teilweise auch frisch|Wann sind Sturmböen möglich?|Bei Gewittern und in den Hochlagen.
23July_2009_Thursday_tagesschau-6759|heute nacht achtzehn grad an der neiße dreizehn grad in der eifel|Wie hoch ist die Temperatur heute Nacht an der Neiße?|Achtzehn Grad.
23July_2009_Thursday_tagesschau-6760|am tag neunzehn grad an der see bis vierundzwanzig grad am oberrhein|Wie hoch ist die Temperatur am Tag an der See?|Neunzehn Grad.
23July_2009_Thursday_tagesschau-6761|am samstag wechselhaftes wetter mit sonne wolken und teilweise gewittrigen schauern|Was für ein Wetter wird am Samstag erwartet?|Am Samstag wird wechselhaftes Wetter mit Sonne, Wolken und teilweise gewittrigen Schauern erwartet.
23July_2009_Thursday_tagesschau-6762|im laufe des nachmittags wird es im südwesten freundlicher|Wann wird es im Südwesten freundlicher?|Im Laufe des Nachmittags.
23July_2009_Thursday_tagesschau-6763|im norden und nordosten viel wind|Wann gibt es im Norden und Nordosten viel Wind?|Aktuell oder in der nahen Zukunft.
23July_2009_Thursday_tagesschau-6764|am sonntag viel sonne|Wann gibt es viel Sonne?|Am Sonntag.
23July_2009_Thursday_tagesschau-6765|auch am montag ist es zunächst noch freundlich am nachmittag in der westhälfte hier und da schauer und gewitter|Was wird am Montag nachmittags in der Westhälfte erwartet?|Am Montag nachmittags sind hier und da Schauer und Gewitter zu erwarten.
12November_2009_Thursday_tagesschau-6766|und nun die wettervorhersage für morgen freitag den dreizehnten november|An welchem Tag wird die Wettervorhersage gemacht?|Für morgen, Freitag den dreizehnten November.
12November_2009_Thursday_tagesschau-6767|tiefs über dem atlantik bestimmen in den kommenden tagen unser wetter mit feuchter teilweise aber sehr milder luft|Was wird unser Wetter in den kommenden Tagen bestimmen?|Tiefs über dem Atlantik.
12November_2009_Thursday_tagesschau-6768|im süden macht sich morgen kurzzeitig hoher luftdruck bemerkbar|Wann wird sich hoher Luftdruck im Süden bemerkbar machen?|Morgen.
12November_2009_Thursday_tagesschau-6769|in der nacht regnet oder nieselt es stellenweise in einigen regionen ist es neblig|Wann regnet oder nieselt es stellenweise in einigen Regionen?|In der Nacht.
12November_2009_Thursday_tagesschau-6773|schwacher bis mäßiger wind in der nordwesthälfte teilweise frisch an der nordsee und in den westlichen mittelgebirgen stürmische böen|Wie stark ist der Wind in der nordwesthälfte der Region derzeit?|Der Wind ist schwach bis mäßig, teilweise frisch an der Nordsee und in den westlichen Mittelgebirgen gibt es stürmische Böen.
12November_2009_Thursday_tagesschau-6774|heute nacht acht grad in der kölner bucht und null grad in vorpommern|Was ist die Temperatur in der Kölner Bucht heute Nacht?|Acht Grad.
12November_2009_Thursday_tagesschau-6775|am tag dort sieben grad und sechzehn grad am oberrhein|Wie hoch ist die Temperatur am Tag am Oberrhein?|Sechzehn Grad.
12November_2009_Thursday_tagesschau-6776|am samstag scheint in der osthälfte noch ab und zu die sonne|Wann scheint die Sonne in der Osthälfte?|Am Samstag.
12November_2009_Thursday_tagesschau-6777|von westen zieht ein regengebiet heran dabei ist es sehr mild|Was passiert, während der Regen aus Westen kommt?|Es ist sehr mild.
12November_2009_Thursday_tagesschau-6778|im nordwesten viel wind|Wo gibt es viel Wind?|Im Nordwesten.
12November_2009_Thursday_tagesschau-6779|am sonntag mal etwas sonne mal wolken vor allem im süden und nordwesten regnet es|Was wird am Sonntag im Süden und Nordwesten erwartet?|Im Süden und Nordwesten wird Regen erwartet.
12November_2009_Thursday_tagesschau-6780|der montag beginnt freundlich später kommt von südwesten regen auf|Wann beginnt der Montag freundlich?|Der Montag beginnt freundlich am Morgen.
02June_2010_Wednesday_heute-6781|guten abend liebe zuschauer|Wann wird der Satz 'guten abend liebe zuschauer' normalerweise gesagt?|Normalerweise am Abend.
02June_2010_Wednesday_heute-6782|sintflutartiger regen verbunden mit überschwemmungen erdrutsche das ist das wetter in den nächsten stunden in bayern|Welche Wetterbedingungen werden in den nächsten Stunden in Bayern erwartet?|Sintflutartiger Regen, verbunden mit Überschwemmungen und Erdrutschen.
02June_2010_Wednesday_heute-6785|es wird also recht massiv werden die regenwolken stauen sich derzeit eben an den alpen aus dem nordosten angetrieben von diesem tiefdruckgebiet das so langsam zum mittelmeer zieht|Was wird bald mit den Regenwolken geschehen, und woher kommen sie?|Die Regenwolken werden massiv werden und sie stauen sich derzeit an den Alpen, aus dem Nordosten.
02June_2010_Wednesday_heute-6786|und morgen schwächen sich die regenwolken ab|Was wird morgen mit den Regenwolken passieren?|Sie werden sich ab schwächen.
02June_2010_Wednesday_heute-6787|danach wird es dann am freitag bei uns endlich mal sonnig und vor allen dingen warm|Wann wird es bei uns sonnig und warm?|Am Freitag.
02June_2010_Wednesday_heute-6788|aber in den nächsten stunden erwarten wir weiterhin massiven regen acht zentimeter bis morgen früh könnte es durchaus nochmal geben|Wann erwarten wir in den nächsten Stunden massiven Regen?|Bis morgen früh.
02June_2010_Wednesday_heute-6790|und auch morgen noch immer regen im südosten deutschlands vom erzgebirge bis zum schwarzwald|Wann wird es im Südosten Deutschlands Regen geben?|Morgen wird es Regen geben.
02June_2010_Wednesday_heute-6791|aber der regen schwächt sich gott sei dank ab und am nachmittag kann es von den alpen her auch langsam trocken werden|Wann wird es am Nachmittag langsam trocken?|Am Nachmittag, wenn der Regen sich abschwächt.
02June_2010_Wednesday_heute-6792|in norddeutschland dagegen kontrastprogramm beim wetter|Was ist das Wetter in Norddeutschland im Vergleich zu anderen Regionen?|In Norddeutschland gibt es ein Kontrastprogramm beim Wetter.
02June_2010_Wednesday_heute-6793|strahlender sonnenschein ganz ähnlich wie heute und auch im westen finden wir nur ein paar wolken mehr wetter gibt es dort nicht allerdings für uns alle diesen recht starken nordwind|Wie ist das Wetter heute im Vergleich zum Westen laut dem Satz?|Heute gibt es strahlenden Sonnenschein, während im Westen nur ein paar Wolken vorhanden sind.
02June_2010_Wednesday_heute-6794|aber wenigstens die wärme im norden und westen zwanzig bis dreiundzwanzig grad ein bisschen kühler bleibt es direkt an den küsten und dann vor allen dingen unter den regenwolken da nur zwölf bis sechzehn grad|Wie warm bleibt es im Norden und Westen?|Es bleibt zwanzig bis dreiundzwanzig Grad warm.
02June_2010_Wednesday_heute-6795|aber die wärme kommt ab freitag ist sie da die sonne auch|Wann kommt die Wärme und die Sonne?|Ab Freitag.
02June_2010_Wednesday_heute-6797|ihnen einen schönen abend und machen sie es gut|Was wird den Menschen gewünscht?|Ihnen wird ein schöner Abend gewünscht.
10November_2010_Wednesday_tagesschau-6798|und nun die wettervorhersage für morgen donnerstag den elften november|Wann ist die Wettervorhersage angekündigt?|Für morgen, Donnerstag, den elften November.
10November_2010_Wednesday_tagesschau-6799|ab morgen nachmittag bestimmt das tief das nach schottland zieht unser wetter|Was bestimmt das Wetter ab morgen Nachmittag?|Ein Tief, das nach Schottland zieht.
10November_2010_Wednesday_tagesschau-6800|bis dahin herrscht ruhe vor dem sturm|Was passiert bis dahin?|Bis dahin herrscht Ruhe.
10November_2010_Wednesday_tagesschau-6801|in der nacht verlagert sich der regen in die osthälfte im höheren bergland schneit es teilweise vorsicht wegen glätte|Was passiert in der Nacht mit dem Regen und wo schneit es?|In der Nacht verlagert sich der Regen in die Osthälfte und im höheren Bergland schneit es teilweise.
10November_2010_Wednesday_tagesschau-6802|morgen zunächst nochmal freundliche abschnitte am nachmittag kommt dann im westen kräftiger regen auf er breitet sich später auf weite teile des landes aus|Was passiert morgen am Nachmittag und später im Laufe des Tages?|Am Nachmittag kommt kräftiger Regen im Westen auf, der sich später auf weite Teile des Landes ausbreitet.
10November_2010_Wednesday_tagesschau-6803|erst weht der wind mäßig später stark vor allem in der nordwesthälfte gegen abend erste sturmböen|Wann weht der Wind stark?|Gegen Abend.
10November_2010_Wednesday_tagesschau-6804|im bergland und an der see schwere sturmböen in gipfellagen zum teil orkanböen|Wo treten schwere Sturmböen auf?|Im Bergland und an der See.
